id,reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods
450,be 3 sx 2024 xe đẹp,VinFast,VF3 Plus,2024,0,Mới 100%,,,False
451,"- Chào bán: Vinfast VF3 màu Xanh siêu lướt 2000km , miễn phí sạc đến 01/2028 | - Xe trang bị hơn 50 T tiền Phụ kiện",VinFast,VF3 Plus,2024,2000,Đã qua sử dụng,,,True
452,"độc lập liên kết đa điểm, hệ thông treo phụ thuộc, động cơ 100kw, sức kéo đạt 135Nm, pack pin có dung lượng gần 60kwh",VinFast,VF6 Eco,2025,0,Mới 100%,Mua pin,,False
453,tinh thần Việt Nam 4% | Xăng Sang Điện | Hỗ trợ lãi suất NH,VinFast,VF9 Plus 7S,2025,0,Mới 100%,null,,False
454,Đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,,VF8 Plus AWD,2023,37000,Đã qua sử dụng,Mua pin,,True
455,"Chào bán mẫu xe sedan điện đẳng cấp của nhà Mercedes, đầy đủ lịch sử bảo dưỡng hãng",Mercedes-Benz,EQS 580 4Matic,2023,3000,Đã qua sử dụng,,True,False
456,"- Bảo hiểm, bảo dưỡng, cam ke̊̂t mọi tie̲̅u chuả̳n vè̲ xe. | Quý kha̓̄ch hā̕ng an ta̓̄m",VinFast,VF8 Eco,2023,40000,Đã qua sử dụng,,False,False
457,Full ADAS | Màu xanh rêu siêu hiếm,VinFast,VF8 Eco,2023,50000,Đã qua sử dụng,,,True
458,Carpla Tân Phú mới về Vinfast VF5 Plus 2025 Pin mua,VinFast,VF5 Plus,2025,23000,Đã qua sử dụng,Mua pin,,True
459,"- Chào bán: VF3 Vàng lướt 9000km Zin , thuê pin",VinFast,VF3 Plus,2024,9000,Đã qua sử dụng,Thuê pin,,True
460,zin auto chào bán vf8 sx 2024 mới 100%,VinFast,VF8 S,2024,0,Mới 100%,,,False
461,"mảnh ghép cuối cùng trong chuỗi sản phẩm ô tô điện, thiết kế theo ngôn ngữ “Vũ trụ phi đối xứng” (Asymmetric Aerospace), công nghệ đỉnh cao, khả năng vận hành vượt trội",VinFast,VF7 Eco,2026,0,Mới 100%,,,False
462,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026,0,Mới 100%,Mua pin,,False
463,BÁN LIMO GREEN 2025 – XE 7 CHỖ MỚI 100% – GIÁ ĐÃ TRỪ TOÀN BỘ ƯU ĐÃI KHỦNG!,VinFast,Limo Green,2025,0,Mới 100%,,,False
464,"mới quá, thuê pin, đi 2000km",VinFast,VF3 Plus,2025,2000,Đã qua sử dụng,Thuê pin,,True
465,"330km/lần sạc, sạc nhanh tiết kiệm thời gian, sạc chậm tiện lợi tại nhà",Wuling,Bingo,2026,0,Mới 100%,Mua pin,,False
466,"miễn phí 100% thuế trước bạ, miễn phí sạc pin đến 01/07/2027 (không giới hạn), hỗ trợ đăng ký, đăng kiểm nhanh chóng, hỗ trợ đăng ký chạy dịch vụ Platform, Grab hoàn toàn miễn phí, hỗ trợ đăng ký Hợp tác xã cho khách hàng kinh doanh vận tải",,VF5 Plus,,,Đã qua sử dụng,Mua pin,,False
467,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025,0,Mới 100%,,,True
468,"xuất sắc, full ls bảo hành hãng, zin toàn bộ không va chạm thủy kích",VinFast,VF3 Plus,2025,0,Mới 100%,,True,False
469,màu Xám sản xuất 2025 Xe mua pin,VinFast,VF6 Plus,2025,2000,Đã qua sử dụng,Mua pin,,True
470,"dung lượng pin 82.56kwh, sạc nhanh (DC ) 30%-80% trong 30 phút, quãng đường 1 lần sạc đầy là 520km ( WLTC ), hệ thống an toàn kể hết mỏi mồm",BYD,Seal Performance,2025,0,Mới 100%,Mua pin,,True
471,THĂNG LONG CAR - THẾ GIỚI XE VINFAST LƯỚT xin kính chào quý khách hàng ! | Chúng tôi xin trân trọng giới thiệu đến quý khách hàng mẫu xe. | -Hãng xe: vinfast | -Loại xe : vinfast vf8 bản eco 2023 pin mơi CATL- hỗ trợ xe xăng trừ 70tr. còn 680tr. sẵn hồ sơ cầm tay sang tên trong ngày..!,VinFast,VF8 Eco,2023,30000,Đã qua sử dụng,Mua pin,True,False
472,"triết khấu trực tiếp 4%, giảm thêm 15 triệu, tặng 7.500 điểm vpoint tương đương 7tr500, tri chuat len den 1,5%",VinFast,Limo Green,2025,0,Mới 100%,Mua pin,,False
473,phiên bản màu đặc biệt với những tính năng nổi trội so với xe cùng phân khúc,VinFast,VF3 Plus,2025,0,Mới 100%,null,,True
474,#VinFast_VF8 Plus + Kèm Pin | SẴN XE SẴN MÀU GIAO NGAY | Hỗ trợ vay lên tới 80% | Hỗ trợ chứng minh thu nhập - bao hồ sơ khó | Hỗ trợ giao xe tận nhà,VinFast,VF8 Plus AWD,2025,0,Mới 100%,Mua pin,,False
475,"Nhập khẩu Đức nguyên chiếc, đăng ký và sản xuất năm 2023",Porsche,Taycan,2023,6200,Đã qua sử dụng,,,True
476,"odo 3vkm siêu mới, miễn phí sạc đến hết năm 2027, phim cách nhiệt cao cấp, thảm sàn nhựa đúc, sơn Zin 99%, không tai nạn, không ngập nước, máy móc và Pin còn bảo hành",VinFast,VF6 Plus,2024,3000,Đã qua sử dụng,Mua pin,True,True
477,"màu vàng sa mạc, một màu mới của năm 2026",Volvo,EC40 Ultra,2025,0,Mới 100%,,,True
478,SUV ĐIỆN TOÀN CẦU GEELY EX5 – PHIÊN BẢN MAX CAO CẤP NHẤT | Màu sắc: Xanh Dương,Geely,EX5 Max,2025,0,Mới 100%,Mua pin,,True
479,tinh thần Việt Nam 4% | Xăng Sang Điện | Sài Gòn và Thủ Đô Xanh (TPHCM & HÀ NỘI) | Hỗ trợ lãi suất NH 3%,VinFast,VF5 Plus,2025,0,Mới 100%,,,True
480,mua pin catl đi 50.000km đẹp xuất sắc,VinFast,VF8 Eco AWD,2023,50000,Đã qua sử dụng,Mua pin,,False
481,"mua pin, máy móc khung gầm nguyên bản",VinFast,VF8 Plus AWD,2023,47000,Đã qua sử dụng,Mua pin,,True
482,"xuất hiện ngoại hình nhỏ gọn, trọng lượng không tải, dung lượng pin, tiêu chuẩn NEDC, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026,0,Mới 100%,Mua pin,,False
483,"sở hữu xe 0đ, mỗi tháng trả cố định 10tr6/tháng trong 5 năm",VinFast,VF5 Plus,2025,,Đã qua sử dụng,Mua pin,False,False
484,"mới, giá cựu ưu đãi tháng 12",VinFast,VF8 Eco,2025,0,Mới 100%,,,True
485,giá tốt nhất | hỗ trợ vay bank | vận hành cho thuê miễn phí,,Limo Green,2025,0,Mới 100%,Mua pin,,False
486,"mảnh ghép cuối cùng trong chuỗi sản phẩm ô tô điện, thiết kế theo ngôn ngữ “Vũ trụ phi đối xứng” (Asymmetric Aerospace), công nghệ đỉnh cao, khả năng vận hành vượt trội",VinFast,VF7 Eco,2026,0,Mới 100%,,,False
487,"chào bán, xe mới vừa dắt hãng ra đăng ký, mua pin miễn phí sạc tới 2027",VinFast,VF5 Plus,,2000,Đã qua sử dụng,Mua pin,,True
488,xám nt đen mua pin odo 3v7 km,VinFast,VF6 Plus,2024,30700,Đã qua sử dụng,Mua pin,,True
489,"giá bán và thuê pin hấp dẫn, động cơ mạnh mẽ nhất phân khúc C-SUV",VinFast,VF7 Plus AWD,2024,0,Mới 100%,Mua pin,,True
490,"zin auto chào bán, chạy 5km mới 100%",VinFast,VF8 S,2024,0,Mới 100%,,True,False
491,"nhận xe, giao ngay, hỗ trợ trả góp, sạc tới 2027, thuế trước bạ 0 đồng",VinFast,VF5 Plus,2025,0,Mới 100%,Mua pin,,False
492,"mua dc 2 tháng, sx 2025 bản mua đứt pin",VinFast,VF7 Eco,2025,0,Mới 100%,Mua pin,,False
493,"tư nhân, từ mới, lăn bánh tháng 6/2025, đã lộp phí đường bộ đến tháng 6/2028",VinFast,Herio Green AT,2025,0,Mới 100%,Mua pin,,False
494,chạy 3v1 km bản 6 ghế ngồi có lối đi giữa thoải mái rộng rãi,Hongqi,E-HS9,2022,3000,Đã qua sử dụng,,,True
495,siêu phẩm như mới | đã mua đứt pin SDI | odo 2v ( xe siêu mới zin đét cả xe như mới không lỗi nhỏ) | Xe đã lên Phim 3M Mỹ hạng thương gia,VinFast,VF9 Plus,2023,20000,Đã qua sử dụng,Mua pin,True,False
496,VinFast VF8 Eco Pin Catl - Đổi xe xăng sang xe điện giảm trực tiếp tiền mặt,VinFast,VF8 Eco AWD,2023,38000,Đã qua sử dụng,Mua pin,,False
497,"miễn phí 100% phí trước bạ, hỗ trợ vay 80%",VinFast,VF7 Plus AWD,2025,0,Mới 100%,,,True
498,"odo 4,8 vạn km | giảm 20tr tiền mặt | tặng 1 năm bảo hiểm | chuyển đổi xe xăng sang xe điện giảm 70tr",VinFast,VF8 Eco,2023,48000,Đã qua sử dụng,,,True
499,"- Bảo hiệnh, bảo dưỡng, cam ke̊̂t mo̓i tie̲̅u chuả̳n vè̲ xe. - Quý kha̋̂ch hā̵ng an tạ̍m, lie̲̅n hë̲̉: - Ho̊̃ trợ mo̓i thǔ̳c trû̧c trû̧c tű̡c, trong và sau bán. - Ho̊̃ trợ trả go̊̂p lā̵i sua̲̅t u̓̈u đǎ̳i. - U̍̕u đa̧̋i cű̡c tő̢t ĐÕ̩̂I XĂNG SANG ĐIẸ̄N: Giảm 70 trie̲̅u. - Tǎ̳ng Bä̵o hie̲̍nh tha̧̋n vo̓̈, BHTV và quà tặng theo chính sách của GF",,,,,,,,False
500,VinFast VF8 Eco Pin Sdi sx năm 2023 đổi xe xăng sang điện giảm thêm 70TRIỆU,VinFast,VF8 Eco AWD,2023,50000,Đã qua sử dụng,Mua pin,,False
501,tứ quý auto hiện đang bán xe vinfast vf3 eco 2025 trắng,VinFast,VF3 Plus,2025,0,Mới 100%,,True,True
502,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
503,nội thất nâu odo 4v pin sdi | vận hành êm ái | kiểm định 139 bước nghiêm ngặt,VinFast,VF8 Plus AWD,2023,0,Mới 100%,Mua pin,,True
504,"giá bán và thuê pin hấp dẫn, động cơ mạnh mẽ nhất phân khúc C-SUV",VinFast,VF7 Plus AWD,2026,0,Mới 100%,Mua pin,,True
505,"LIMO GREEN – XE GIA ĐÌNH, XE CỦA NHÀ MÌNH! | không gian rộng rãi, tăng kết nối cả gia đình",VinFast,Limo Green,2026,0,Mới 100%,null,,False
506,"đèn led định vị chữ 'V ', mâm 19 inch hợp kim, gương chiếu hậu gập điện, ghế da nhân tạo, màn hình 10.1 inch có Apple CarPlay/Android Auto, cần số điện tử sau vô-lăng, chế độ lái Sport & Cruise Control, camera lùi & cảm biến hỗ trợ đỗ xe",VinFast,VF MPV 7,2026,0,Mới 100%,,,True
507,XẢ TỒN KHO CUỐI 2025 | Xe mới 100%,VinFast,VF5 Plus,,0,Mới 100%,,,False
508,XẢ TỒN KHO CUỐI 2025 | Xe mới 100%,VinFast,Limo Green,,0,Mới 100%,,,False
509,XẢ TỒN KHO CUỐI 2025,VinFast,VF3 Plus,,0,Mới 100%,,,False
510,"hệ dẫn động 4 bánh, chung thông số động cơ",,,,,Đã qua sử dụng,null,,False
511,"mới 4v, gia đình, biển trắng giữ kỹ",VinFast,VF8 Plus AWD,2022,0,Mới 100%,Full pin,True,False
512,thuần điện sx2022 bản 6 ghế ngồi,Hongqi,E-HS9,2022,0,Mới 100%,Mua pin,,False
513,"mua đứt pin, bảo hiểm thân vỏ đầy đủ, hỗ trợ bank lên đến 80%",VinFast,VF5 Plus,2024,0,Mới 100%,Mua pin,False,False
514,"trả trước chỉ từ 322 triệu đồng | edan cỡ E Han cũng kèm chế độ bảo hành xe 6 năm hoặc 150.000 km, bảo hành pin 8 năm hoặc 160.000 km",BYD,Han EV,,0,Mới 100%,Mua pin,,True
515,"Chuyên bán xe đã qua sử dụng chính hãng với chứng chỉ Mercedes-Benz Certified, bạn hoàn toàn có thể yên tâm | Kiểm tra kỹ thuật toàn diện | Lịch sử xe minh bạch, không có hư hại do tai nạn",Mercedes Benz,EQS 580 4Matic,,,Đã qua sử dụng,,True,False
516,"pin thuê, xe đẹp, cam kết chất lượng nguyên bản",VinFast,VF3 Plus,2024,0,Mới 100%,Pin thuê,,False
517,THĂNG LONG CAR - THẾ GIỚI XE VINFAST LƯỚT xin kính chào quý khách hàng ! | Chúng tôi xin trân trọng giới thiệu đến quý khách hàng mẫu xe. | -Hãng xe: vinfast | -Loại xe : vinfast vf8 eco 2023 mua pin | -Phiên bản : bản eco | -Màu xe : Ngoại thất màu trắng- đen. | - Số km: 5v km | - Năm sx :2023 - pin SDI | - Sổ bảo hành:Bảo hành bảo dưỡng chính hãng full ls bảo dưỡng hãng kèm theo.,VinFast,VF8 Eco,2023,5000,Đã qua sử dụng,Mua pin,,False
518,"mạnh liệt tinh thần Việt Nam, xăng sang điện, hỗ trợ lãi suất nh",VinFast,VF6 Eco,2025,0,Mới 100%,Mua pin,,True
519,Tặng 2 năm BHTV với biển trắng và 12 triệu tiền mặt,VinFast,VF5 Plus,2025,0,Mới 100%,Mua pin,,False
520,"xe demo công ty, lợt cuả hàng, sư dung rât ky, tiêt kiêm hơn so voi mua xe mơi",Mercedes-Benz,EQE 500 4Matic,2023,,Đã qua sử dụng,,True,False
521,"màu vàng Lamborghini Urus đặc biệt, thuê pin tiên phong",VinFast,VF e34,2022,55000,Đã qua sử dụng,Thuê pin,,True
522,"VINFATS VF3 - ÔNG HOÀNG ĐÔ THỊ | Giá chỉ ngang xe máy SH nhưng lại là 4 bánh điều hoà mát lịm tim, an toàn tuyệt đối và bảo vệ sức khoẻ khỏi ô nhiễm khói bụi lên đến 99% | Màn hình cảm ứng 10inch | Quảng đường di chuyển 210km/1 lần sạc. | Chỉ mất 24 phút cho quá trình sạc pin nhanh 10% - 70 %",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
523,BÁN LIMO GREEN 2025 – XE 7 CHỖ MỚI 100% – GIÁ ĐÃ TRỪ TOÀN BỘ ƯU ĐÃI KHỦNG!,VinFast,Limo Green,2025,0,Mới 100%,,,False
524,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
525,- Xe rất đẹp! - Hỗ Trợ trả góp 75-60% giá trị xe 7năm,VinFast,VF5 Plus,2024,0,Mới 100%,,True,False
526,"mảnh ghép cuối cùng trong chuỗi sản phẩm ô tô điện, thiết kế theo ngôn ngữ “Vũ trụ phi đối xứng” (Asymmetric Aerospace), công nghệ đỉnh cao, khả năng vận hành vượt trội",VinFast,VF7 Eco,2026,0,Mới 100%,,,False
527,"sản xuất 2025, chạy 5km",VinFast,VF3 Plus,2025,0,Mới 100%,,,True
528,#Vinfast_VF3 + Kèm Pin | SẴN XE SẴN MÀU GIAO NGAY,VinFast,VF3 Plus,2025,0,Mới 100%,Thuê Pin,,True
529,"xuất xưởng 2022, odo:2vkm, nhiều phụ kiện",VinFast,VF e34,2022,2000,Đã qua sử dụng,Mua pin,,True
530,"mua Pin CATL đi 38.000km, hoá đơn, miễn phí sạc Pin đến 7/2027, giảm 70tr vào giá xe",VinFast,VF8 Eco AWD,2023,38000,Đã qua sử dụng,Mua pin,,True
531,Nhận xe Chỉ với 45 triệu | Sẵn xe GIAO NGAY Đa dạng lựa chọn màu ngoại thất,VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,False
532,"xuất hiện ngoại hình nhỏ gọn, trọng lượng không tải, dung lượng pin, tiêu chuẩn NEDC, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026,0,Mới 100%,Mua pin,,False
533,"mạnh nhất phân khúc, không gian nội thất rộng rãi, trang bị nhiều tính năng an toàn vượt trội, chi phí sử dụng cực thấp phù hợp với các gia đình",VinFast,VF5 Plus,2024,0,Mới 100%,,,False
534,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
535,THÔNG SỐ KỸ THUẬT CƠ BẢN Ô TÔ VAN VINFAST EC VAN,,EC Van,2026,0,Mới 100%,Mua pin,,False
536,"miễn phí sạc đến 7/2027, triết khấu lên đến 15tr, ưu đãi lãi suất trả góp, hỗ trợ đăng ký biển xe ca nhân",VinFast,VF5 Plus,2025,0,Mới 100%,,,True
537,"xem xe : 273 , hoàng quốc việt , cầu giấy , hà nội",VinFast,VF5 Plus,2024,0,Mới 100%,,,True
538,"sẵn giao ngay, giảm thêm 12 triệu, đúng 1 giá, hỗ trợ vay vốn 90%",,Limo Green AT,,0,Mới 100%,null,,False
539,"Sản xuất: 2023, Odo: 2-3vạn8 km, Pin CATL – Mua pin",VinFast,VF8 Eco,2023,0,Mới 100%,Mua pin,,False
540,"Sản xuất: 2023, Odo: 5vạn km, Pin CATL – Mua pin",VinFast,VF8 Plus AWD,2023,50000,Đã qua sử dụng,Mua pin,,False
541,"Sản xuất: 2023, Odo: Hơn 4vạn km, Pin CATL – Mua pin",VinFast,VF8 Eco AWD,2023,40000,Đã qua sử dụng,Mua pin,,False
542,"Sản xuất: 2023, Odo: 4vạn1 km, Pin CATL – Mua pin",VinFast,VF8 Eco AWD,2023,41000,Đã qua sử dụng,Mua pin,,False
543,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
544,-Chào bán: Vinfast Vf6 plus màu trắng sản xuất SX 2024 đăng ký 2025 Bản Plus Mua pin,VinFast,VF6 Plus,2025,5000,Đã qua sử dụng,Mua pin,,True
545,"mảnh ghép cuối cùng trong chuỗi sản phẩm ô tô điện, thiết kế theo ngôn ngữ “Vũ trụ phi đối xứng” (Asymmetric Aerospace), công nghệ đỉnh cao, khả năng vận hành vượt trội",VinFast,VF7 Eco,2026,0,Mới 100%,,,False
546,THĂNG LONG CAR - THẾ GIỚI XE VINFAST LƯỚT xin kính chào quý khách hàng ! | Chúng tôi xin trân trọng giới thiệu đến quý khách hàng mẫu xe. | -Hãng xe: vinfast | -xe vf8 pin SDI | -Loại xe : vinfast vf8 eco mua pin | -Phiên bản : bản eco | -Màu xe : Ngoại thất màu đỏ - đen | - Số km: 4v km | - Năm sx :2023 -2 cầu | - Sổ bảo hành:Bảo hành bảo dưỡng chính hãng full ls bảo dưỡng hãng kèm theo. | -Cam kết chất lượng bằng văn bản có giá trị pháp lý,VinFast,VF8 Eco,2023,4000,Đã qua sử dụng,Mua pin,True,False
547,- Bản Plus chỉ 740tr |- Cuối năm lễ tết tây tết ta x2 x3 giá cước |- Bảo hành lên đến 7 năm |- Miễn phí sạc đến 30/7/2027 chạy cước mà không tốn xu nào,VinFast,VF6 Plus,,0,Mới 100%,,,False
548,"Miễn phí 100% phí trước bạ, Hỗ trợ vay 80%",VinFast,VF6 Plus,2025,0,Mới 100%,,,True
549,"mạnh liệt tinh thần việt nam, xăng sang điện, hỗ trợ lãi suất nh",VinFast,Limo Green AT,2025,0,Mới 100%,Mua pin,,True
550,"vay đến 90%, bảo hành lên đến 7 năm, miễn phí sạc đến 30/7/2027",VinFast,VF5 Plus,,0,Mới 100%,,,False
551,thuê pin tiên phong miễn phí sạc tới t7/2027 sx 2022,VinFast,VF8 Plus AWD,2022,0,Mới 100%,Thuê pin,,True
552,"mua pin, đã vào full option, odometer siêu lùi chỉ 4.000km",VinFast,VF3 Plus,2025,4000,Đã qua sử dụng,Mua pin,,True
553,"xuất hiện ngoại hình nhỏ gọn, kích thước, trọng lượng không tải, dung lượng pin, công suất động cơ, mô men xoắn, thời gian tăng tốc",VinFast,VF5 Plus,2026,0,Mới 100%,Mua pin,,False
554,Xe E đã Spa nhẹ xong sẵn sàng giao dịch | Vf5 Sx 2025 bản Plus ( Mua pin ) Xe chạy 40.000km zin full hãng,VinFast,VF5 Plus,2025,40000,Đã qua sử dụng,Mua pin,,True
555,odo 61.000 km dòng 2 máy vẫn có cam 360 HUD kính full adas,VinFast,VF8 Eco AWD,2023,61000,Đã qua sử dụng,,,True
556,DUY NHẤT 1 CHIẾC VF6 PLUS MÀU XANH DƯƠNG – AI NHANH HƠN SẼ CÓ! | GIẢM 4% TRỪ THẲNG VÀO GIÁ NIÊM YẾT | MIỄN PHÍ SẠCH PIN ĐẾN HẾT THÁNG 06/2027,VinFast,VF6 Plus,2025,0,Mới 100%,Thu cũ đổi mới,,False
557,sản xuất 2023 đăng ký 2025 bảo hành 2028 lướt 4000 km màu đỏ nội thất đen trang bị full option,Mercedes Benz,EQS 450 Plus,2023,0,Mới 100%,,True,True
558,"- Bảo hiệnh, bảo dưỡng, cam kết mọi tiêu chuẩn ve̊̀ xe. - Quý khạ̉ch hạ̉ng an tạ̅̄m, liện hệ: - Hỗ trợ mọi thu̥ tu̥c trước, trong và sau bạ̅̄n. - Hỗ trợ trả go̊̋p lậ̂u suạ̍t u̥u đâ̤i. - U̥u đâ̤i cu̥̅̄c to̥̓̈̀i ĐỌ̉I XĂNG SANG ĐIẸ̌N: Gia̧̋m 70 trie̩̍̃u. - Tâ̤̂ng Bạ̅̄o hiệnh thạ̄n vỏ̥ BHTV và quà tặng theo chính sách của GF",,,,,,,,False
559,"Siêu phẩm MPV7 đầu đã về tới, Giảm 6% giá trị xe, Giảm 5% KH Công An-Quân Đội, Tặng 2 năm bảo hiểm hãng / Quy đổi 15 triệu",VinFast,VF MPV 7,2026,0,Mới 100%,,,True
560,odo 3v | km | Xe thuê pin tiên phong,VinFast,VF8 Plus AWD,2022,,Đã qua sử dụng,Mua pin,,True
561,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
562,#Vinfast_VF6 + Kèm Pin | SẴN XE SẴN MÀU GIAO NGAY,,VF6 Plus,,0,Mới 100%,Mua pin,,True
563,"giá bán và thuê pin hấp dẫn, động cơ mạnh mẽ nhất phân khúc C-SUV",VinFast,VF7 Plus AWD,2026,0,Mới 100%,Mua pin,,True
564,"giá bán và thuê pin hấp dẫn, động cơ mạnh mẽ nhất phân khúc C-SUV",VinFast,VF7 Plus AWD,2026,0,Mới 100%,Mua pin,,True
565,"đánh giá cao về thiết kế, công nghệ, tiện nghi và khả năng vận hành",VinFast,VF7 Eco,2025,0,Mới 100%,,,True
566,"đầm chắc và ổn định khi xe di chuyển qua các ổ gà hay đoạn đường mấp mô, trọng lượng nhẹ hơn",VinFast,VF6 Eco,2025,0,Mới 100%,Mua pin,,False
567,"zin Auto chào bán VinFast VF 5 Plus, sản xuất năm 2024, chạy 2,8 vạn km, không đâm đụng, không ngập nước, keo chỉ – máy số zin 100%",VinFast,VF5 Plus,2024,28000,Đã qua sử dụng,,True,False
568,". Thời gạc sạc pin lên tới 70% trong chỉ 30 phút | . Khoảng sáng gầm tới 191 mm, xe nhỏ gọn thuận lợi di chuyển trong đô thị | . Đa dạng lựa chọn 9 màu ngoại thất",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
569,"mua pin, đi 4v km, đến 6/2026 mới bắt miễn sạc",VinFast,VF8 S,2024,4000,Đã qua sử dụng,Mua pin,,False
570,"giá bán và thuê pin hấp dẫn, động cơ mạnh mẽ nhất phân khúc C-SUV",VinFast,VF7 Plus AWD,2026,0,Mới 100%,Mua pin,,True
571,"tầm hoạt động 380 km, công suất 174 mã lực, hệ thống ADAS",BYD,Atto 2,2025,0,Mới 100%,Mua pin,,False
572,"sẵn xe giao ngay, VinFast VF 5 PLUS 2025",VinFast,VF5 Plus,2025,0,Mới 100%,Mua pin,,False
573,XE MỚI VỀ – VF6 PLUS 2024 (BẢN MUA PIN) | Sản xuất: 2024 | Phiên bản: Plus,VinFast,VF6 Plus,2024,19000,Đã qua sử dụng,Mua pin,True,False
574,- Ưu đãi Sạc miễn phí 2 năm | -  Tặng 2 năm bảo hiểm thân vỏ xe | - Ưu đãi lên đến 150 Triệu | - Trả góp lãi suất ưu đãi,VinFast,VF9,2025,0,Mới 100%,,,False
575,trắng nt nâu da bò | Odo: 2v km,VinFast,VF8 Plus AWD,2022,20000,Đã qua sử dụng,Thuê pin,,True
576,"đánh giá cao về thiết kế cũng như công nghệ, tiện nghi, khả năng vận hành, mức công suất mạnh nhất phân khúc",VinFast,VF7 Plus,2026,0,Mới 100%,null,,True
577,"giá bán và thuê pin hấp dẫn, động cơ mạnh mẽ nhất phân khúc C-SUV",VinFast,VF7 Plus AWD,2026,0,Mới 100%,Mua pin,,True
578,- Chào bán:VF3 màu Trắng ODO 6000 Km,VinFast,VF3 Plus,2025,6000,Đã qua sử dụng,,,True
579,chiếc xe điện giá rẻ của người Tiên Phong - Vinfast VF3. năm sx 2025 odo : 24.000 km pin thuê 900k / tháng,VinFast,VF3 Plus,2025,24000,Đã qua sử dụng,Pin thuê,True,False
580,"mới 1 chủ, biển trắng, không dịch vụ",VinFast,VF8 Plus AWD,2022,0,Mới 100%,Mua pin,False,True
581,#Vinfast_VF6 + Kèm Pin,,VF6 Eco,2025,0,Mới 100%,Thuê pin,,False
582,"- CHÀO BÁN: VINFAST Vf3 giá bán đã kèm pin theo xe! 
- Xe sẵn showroom ,giao ngay trong ngày ! 
- Áp dụng gói pin tiên phong miễn phí sạc đến tháng 1/2028 .",VinFast,VF3 Plus,,0,Mới 100%,Mua pin,,False
583,"- Bảo hiểm, bảo dưỡng, cam ke̊̂t mọi tie̲̅u chuả̳n vè̲ xe. | Quý kha̋̂ch ha̋̂n an ta̋̂m, lie̋̂n he̋̂: | - Hő̂ trő̂ mő̂i thű̂c trű̀c trű̀c tű̀c, trong va̋̀u ba̋́n. | - Hő̂ trő̂ tra̋̂ gõ̋̂p la̋̂i sua̋̂t ű̂u đa̋̂i. | - Ű̂u đa̋̂i cű̂c tő̀c ĐŐ̂I XĂNG SANG ĐIE̋̂N: Gia̋̂m 70 trie̋̂u. | - Ta̋̂ng Ba̋̂o hie̋̂m tha̋̂n vő̂, quy đổi BHTV và quà tặng theo chính sách của GF",,,,,,,,False
584,"mới về, sản xuất 2021, chất lượng xe hoàn hảo",Porsche,Taycan,2021,19000,Đã qua sử dụng,,True,False
585,"mua pin, đi 65.000km, xuất sắc, hoá đơn, miễn phí sạc Pin đến 7/2027",VinFast,VF8 Plus AWD,2023,65000,Đã qua sử dụng,Mua pin,,False
586,"mới về, gần như mới, chưa lăn bánh, sx 2025",VinFast,VF3 Plus,2025,0,Mới 100%,Mua pin,,True
587,"Nhận xe Chỉ với 110 triệu | Sẵn xe GIAO NGAY Đa dạng lựa chọn màu ngoại thất | Hỗ trợ đăng ký Platfrom Miễn phí, chia sẻ doanh thu 85% | Hỗ trợ trả góp 80% giá trị xe | FREE sạc tới 2027",VinFast,VF5 Plus,,0,Mới 100%,Mua pin,,False
